MID,url
M32093106;"File:Atlas de Wit 1698-pl041-Veere-KB PPN 145205088.jpg"
M32093109;"File:Atlas de Wit 1698-pl042-Arnemuiden-KB PPN 145205088.jpg"
M32093110;"File:Atlas de Wit 1698-pl043-Rammekens-KB PPN 145205088.jpg"
M32093111;"File:Atlas de Wit 1698-pl044a-KB PPN 145205088.jpg"
M32093114;"File:Atlas de Wit 1698-pl044b-KB PPN 145205088.jpg"
M32093117;"File:Atlas de Wit 1698-pl045-Amersfoort-KB PPN 145205088.jpg"
M32093118;"File:Atlas de Wit 1698-pl045a-KB PPN 145205088.jpg"
M32093120;"File:Atlas de Wit 1698-pl046-Rhenen-KB PPN 145205088.jpg"
M32093123;"File:Atlas de Wit 1698-pl047-Wijk bij Duurstede-KB PPN 145205088.jpg"
M32093127;"File:Atlas de Wit 1698-pl048-Montfoort-KB PPN 145205088.jpg"
M32093134;"File:Atlas de Wit 1698-pl049-Leeuwarden-KB PPN 145205088.jpg"
M32093136;"File:Atlas de Wit 1698-pl050-Bolswaart-KB PPN 145205088.jpg"
M32093138;"File:Atlas de Wit 1698-pl051-Franeker-KB PPN 145205088.jpg"
M32093142;"File:Atlas de Wit 1698-pl052-Sneek-KB PPN 145205088.jpg"
M32093149;"File:Atlas de Wit 1698-pl053-Dokkum-KB PPN 145205088.jpg"
M32093153;"File:Atlas de Wit 1698-pl054-Harlingen-KB PPN 145205088.jpg"
M32093158;"File:Atlas de Wit 1698-pl055-Stavoren-KB PPN 145205088.jpg"
M32093162;"File:Atlas de Wit 1698-pl056-Workum-KB PPN 145205088.jpg"
M32093167;"File:Atlas de Wit 1698-pl058-Kampen-KB PPN 145205088.jpg"
M32093173;"File:Atlas de Wit 1698-pl059-Zwolle-KB PPN 145205088.jpg"
M32093174;"File:Atlas de Wit 1698-pl060-Hasselt-KB PPN 145205088.jpg"
M32093178;"File:Atlas de Wit 1698-pl061-Vollenhoven-KB PPN 145205088.jpg"
M32093180;"File:Atlas de Wit 1698-pl062-Steenwijk-KB PPN 145205088.jpg"
M32093186;"File:Atlas de Wit 1698-pl063-Oldenzaal-KB PPN 145205088.jpg"
M32093189;"File:Atlas de Wit 1698-pl064-Blokzijl-KB PPN 145205088.jpg"
M32093193;"File:Atlas de Wit 1698-pl065-Zwartsluis-KB PPN 145205088.jpg"
M32093210;"File:Atlas de Wit 1698-pl066-Groningen-KB PPN 145205088.jpg"
M32093216;"File:Atlas de Wit 1698-pl067-Coevorden-KB PPN 145205088.jpg"
M32093218;"File:Atlas de Wit 1698-pl068-Delfzijl-KB PPN 145205088.jpg"
M32093221;"File:Atlas de Wit 1698-pl069-Bourtange-KB PPN 145205088.jpg"
M32093222;"File:Atlas de Wit 1698-pl070-Brussel-KB PPN 145205088.jpg"
M32093229;"File:Atlas de Wit 1698-pl071-Antwerpen-KB PPN 145205088.jpg"
M32093235;"File:Atlas de Wit 1698-pl071a-Antwerpen, Kasteel-KB PPN 145205088.jpg"
M32093242;"File:Atlas de Wit 1698-pl071b-Antwerpen, Oostershuis-KB PPN 145205088.jpg"
